ticket_id,subject,body,channel,priority,created_ts,category,urgency,sentiment
TK-100032,Invoice shows wrong amount,Invoice shows wrong amount. Let me know next steps.,twitter,Medium,2026-04-14 03:56:00,Billing,medium,neutral
TK-100033,Where is my order,Please respond ASAP. Where is my order. Can someone look into this?,twitter,High,2026-04-18 21:37:00,Shipping,high,negative
TK-100026,Password reset email never arrives,Please respond ASAP. Password reset email never arrives. Any update would help.,chat,Urgent,2026-02-05 13:11:00,Login/Access,high,negative
TK-100027,Cancel my plan and refund me,Please respond ASAP. Cancel my plan and refund me. Can someone look into this?,email,Low,2026-01-13 20:34:00,Billing,high,negative
TK-100028,Account locked after failed attempts,I've been waiting for days!! Account locked after failed attempts. Any update would help.,email,Medium,2026-02-24 12:57:00,Login/Access,high,negative
TK-100029,Cancel my plan and refund me,Thanks for your help. Cancel my plan and refund me. Any update would help.,twitter,Urgent,2026-03-15 13:44:00,Billing,low,positive
TK-100070,Can you support CSV export,Can you support CSV export. Any update would help.,email,High,2026-01-05 23:34:00,Feature Request,low,positive
TK-100071,How do I change my email,Not happy about this. How do I change my email. Can someone look into this?,email,Medium,2026-01-08 07:12:00,Login/Access,high,negative
TK-100072,Account locked after failed attempts,Not happy about this. Account locked after failed attempts. Can someone look into this?,chat,High,2026-05-25 06:29:00,Login/Access,high,negative
TK-100073,Delivery is two weeks late,Not happy about this. Delivery is two weeks late. Can someone look into this?,twitter,Low,2026-02-11 09:06:00,Shipping,high,negative
TK-100046,Would love a mobile app,This is really frustrating. Would love a mobile app. Any update would help.,web_form,Medium,2026-03-31 09:52:00,Feature Request,medium,negative
TK-100047,Is there a student discount,I've been waiting for days!! Is there a student discount. I need this resolved.,chat,High,2026-03-13 02:49:00,General,high,negative
TK-100048,Tracking number is invalid,Not happy about this. Tracking number is invalid. Please advise.,chat,Medium,2026-03-26 00:07:00,Shipping,high,negative
TK-100049,App crashes when I upload a file,App crashes when I upload a file. Please advise.,chat,Urgent,2026-04-22 11:46:00,Bug/Error,medium,neutral
TK-100062,Would love a mobile app,Thanks for your help. Would love a mobile app. Any update would help.,web_form,High,2026-01-20 22:18:00,Feature Request,low,positive
TK-100063,Data not syncing between devices,Data not syncing between devices. Let me know next steps.,web_form,Medium,2026-02-08 07:24:00,Bug/Error,medium,neutral
TK-100064,Add integration with Slack,Thanks for your help. Add integration with Slack. Please advise.,web_form,Urgent,2026-04-30 13:03:00,Feature Request,low,positive
TK-100065,Where is my order,Please respond ASAP. Where is my order. Any update would help.,chat,Urgent,2026-05-03 00:22:00,Shipping,high,negative
TK-100058,How do I contact sales,I've been waiting for days!! How do I contact sales. Any update would help.,email,Low,2026-03-04 04:41:00,General,high,negative
TK-100059,Password reset email never arrives,Not happy about this. Password reset email never arrives. Please advise.,web_form,Low,2026-04-29 01:35:00,Login/Access,high,negative
TK-100060,Account locked after failed attempts,Not happy about this. Account locked after failed attempts. Please advise.,phone,Urgent,2026-05-24 19:20:00,Login/Access,high,negative
TK-100061,Would love a mobile app,Not happy about this. Would love a mobile app. Any update would help.,web_form,High,2026-04-26 08:48:00,Feature Request,low,negative
TK-100082,How do I contact sales,I've been waiting for days!! How do I contact sales. Can someone look into this?,phone,Medium,2026-01-24 09:14:00,General,high,negative
TK-100083,Do you have API documentation,Thanks for your help. Do you have API documentation. Any update would help.,phone,High,2026-05-22 16:22:00,General,low,positive
TK-100084,How do I contact sales,Thanks for your help. How do I contact sales. I need this resolved.,web_form,High,2026-03-06 07:07:00,General,low,positive
TK-100085,Do you have API documentation,Not happy about this. Do you have API documentation. Let me know next steps.,phone,High,2026-02-19 06:47:00,General,low,negative
TK-100134,Package arrived damaged,I've been waiting for days!! Package arrived damaged. Any update would help.,twitter,Urgent,2026-04-05 21:47:00,Shipping,high,negative
TK-100135,Is there a student discount,I've been waiting for days!! Is there a student discount. Can someone look into this?,chat,Low,2026-05-06 19:26:00,General,high,negative
TK-100136,Getting a 500 error on checkout,I've been waiting for days!! Getting a 500 error on checkout. Any update would help.,chat,High,2026-03-02 11:06:00,Bug/Error,high,negative
TK-100137,Can you support CSV export,This is really frustrating. Can you support CSV export. Can someone look into this?,web_form,Low,2026-04-27 02:42:00,Bug/Error,high,negative
TK-100114,SSO redirect keeps failing,Please respond ASAP. SSO redirect keeps failing. I need this resolved.,twitter,Urgent,2026-01-26 14:06:00,Bug/Error,high,negative
TK-100115,Is there a student discount,I've been waiting for days!! Is there a student discount. Let me know next steps.,chat,High,2026-01-20 15:50:00,General,high,negative
TK-100116,How do I contact sales,Not happy about this. How do I contact sales. Can someone look into this?,twitter,Urgent,2026-03-26 21:54:00,General,medium,negative
TK-100117,How do I contact sales,Please respond ASAP. How do I contact sales. Can someone look into this?,chat,Medium,2026-06-08 02:15:00,General,low,neutral
TK-100086,Delivery is two weeks late,Please respond ASAP. Delivery is two weeks late. I need this resolved.,web_form,High,2026-01-26 06:18:00,Shipping,high,negative
TK-100087,App crashes when I upload a file,Not happy about this. App crashes when I upload a file. Please advise.,email,High,2026-02-02 08:02:00,Bug/Error,high,negative
TK-100088,Account locked after failed attempts,Account locked after failed attempts. Can someone look into this?,phone,Urgent,2026-05-27 09:30:00,Login/Access,high,neutral
TK-100089,Cannot log into my account,Thanks for your help. Cannot log into my account. Any update would help.,phone,Low,2026-01-30 02:25:00,Login/Access,medium,positive
TK-100050,Where is my order,I've been waiting for days!! Where is my order. Please advise.,phone,Low,2026-02-18 08:02:00,Shipping,high,negative
TK-100051,Package arrived damaged,Thanks for your help. Package arrived damaged. Any update would help.,chat,High,2026-01-18 21:58:00,Shipping,medium,negative
TK-100052,Why did my subscription price go up,Please respond ASAP. Why did my subscription price go up. I need this resolved.,phone,High,2026-06-20 13:20:00,Billing,high,negative
TK-100053,Password reset email never arrives,I've been waiting for days!! Password reset email never arrives. Any update would help.,web_form,High,2026-06-23 23:57:00,Login/Access,high,negative
TK-100182,Can you support CSV export,Not happy about this. Can you support CSV export. Let me know next steps.,phone,Medium,2026-04-24 19:18:00,General,low,negative
TK-100183,Two-factor code not working,I've been waiting for days!! Two-factor code not working. Let me know next steps.,phone,Urgent,2026-04-05 21:36:00,Login/Access,high,negative
TK-100184,Need bulk edit functionality,Please respond ASAP. Need bulk edit functionality. Any update would help.,twitter,Medium,2026-02-11 06:51:00,Feature Request,low,positive
TK-100185,Cancel my plan and refund me,Thanks for your help. Cancel my plan and refund me. Please advise.,twitter,Low,2026-01-27 22:54:00,Billing,low,positive
TK-100138,Getting a 500 error on checkout,This is really frustrating. Getting a 500 error on checkout. Please advise.,twitter,Medium,2026-02-22 02:53:00,Bug/Error,high,negative
TK-100139,Password reset email never arrives,Thanks for your help. Password reset email never arrives. Let me know next steps.,web_form,Medium,2026-06-02 00:17:00,Login/Access,medium,positive
TK-100140,Getting a 500 error on checkout,Getting a 500 error on checkout. Can someone look into this?,web_form,High,2026-02-03 00:22:00,Bug/Error,high,neutral
TK-100141,Two-factor code not working,Two-factor code not working. Let me know next steps.,email,Urgent,2026-04-18 16:07:00,Login/Access,medium,neutral
TK-100214,Where is my order,This is really frustrating. Where is my order. I need this resolved.,phone,High,2026-06-14 02:28:00,Shipping,high,negative
TK-100215,Delivery is two weeks late,This is really frustrating. Delivery is two weeks late. Let me know next steps.,email,Low,2026-04-21 16:58:00,Shipping,high,negative
TK-100216,Two-factor code not working,This is really frustrating. Two-factor code not working. Let me know next steps.,chat,High,2026-03-24 22:14:00,Login/Access,high,negative
TK-100217,Getting a 500 error on checkout,Not happy about this. Getting a 500 error on checkout. Please advise.,chat,Low,2026-03-12 04:40:00,Bug/Error,high,negative
TK-100194,How do I change my email,Please respond ASAP. How do I change my email. I need this resolved.,twitter,Low,2026-01-18 16:34:00,Login/Access,high,negative
TK-100195,Please add dark mode,Not happy about this. Please add dark mode. Any update would help.,email,High,2026-04-06 08:47:00,Feature Request,medium,negative
TK-100196,Getting a 500 error on checkout,Not happy about this. Getting a 500 error on checkout. Can someone look into this?,chat,Medium,2026-05-29 23:48:00,Bug/Error,high,negative
TK-100197,Data not syncing between devices,Thanks for your help. Data not syncing between devices. Let me know next steps.,phone,Medium,2026-06-25 14:44:00,Bug/Error,low,positive
TK-100202,Need bulk edit functionality,This is really frustrating. Need bulk edit functionality. Please advise.,email,High,2026-03-17 10:06:00,Feature Request,medium,negative
TK-100203,Dashboard shows blank screen,I've been waiting for days!! Dashboard shows blank screen. Please advise.,phone,High,2026-04-20 05:44:00,Bug/Error,high,negative
TK-100204,Why did my subscription price go up,Please respond ASAP. Why did my subscription price go up. Any update would help.,email,Low,2026-03-12 20:50:00,Billing,medium,neutral
TK-100205,How do I contact sales,Thanks for your help. How do I contact sales. Please advise.,web_form,Urgent,2026-06-23 05:01:00,General,low,positive
TK-100102,Export button does nothing,Not happy about this. Export button does nothing. Any update would help.,twitter,Low,2026-03-15 21:25:00,Bug/Error,high,negative
TK-100103,Why did my subscription price go up,Thanks for your help. Why did my subscription price go up. I need this resolved.,twitter,Low,2026-01-30 12:55:00,Billing,medium,negative
TK-100104,Tracking number is invalid,I've been waiting for days!! Tracking number is invalid. Can someone look into this?,twitter,Urgent,2026-02-18 16:23:00,Shipping,high,negative
TK-100105,Please add dark mode,This is really frustrating. Please add dark mode. I need this resolved.,chat,Urgent,2026-05-21 04:59:00,Feature Request,high,negative
TK-100098,Delivery is two weeks late,I've been waiting for days!! Delivery is two weeks late. Any update would help.,phone,High,2026-01-21 19:02:00,Shipping,high,negative
TK-100099,App crashes when I upload a file,App crashes when I upload a file. Let me know next steps.,email,High,2026-06-22 18:37:00,Bug/Error,medium,neutral
TK-100100,Refund not received yet,I've been waiting for days!! Refund not received yet. Please advise.,chat,Medium,2026-06-16 14:58:00,Billing,high,negative
TK-100101,Add integration with Slack,Add integration with Slack. Any update would help.,chat,Low,2026-03-31 13:21:00,Feature Request,low,positive
TK-100074,Tracking number is invalid,I've been waiting for days!! Tracking number is invalid. Let me know next steps.,web_form,Low,2026-01-20 18:44:00,Shipping,high,negative
TK-100075,Data not syncing between devices,Data not syncing between devices. Please advise.,phone,High,2026-01-11 11:34:00,Bug/Error,medium,neutral
TK-100076,Wrong item was delivered,Wrong item was delivered. Any update would help.,chat,Urgent,2026-05-06 03:27:00,Shipping,medium,negative
TK-100077,Account locked after failed attempts,This is really frustrating. Account locked after failed attempts. Please advise.,twitter,Urgent,2026-06-16 08:39:00,Login/Access,high,negative
TK-100078,Need bulk edit functionality,Thanks for your help. Need bulk edit functionality. I need this resolved.,phone,Medium,2026-03-04 02:17:00,Feature Request,medium,positive
TK-100079,Delivery is two weeks late,Not happy about this. Delivery is two weeks late. Any update would help.,chat,Medium,2026-03-28 00:31:00,Shipping,high,negative
TK-100080,Two-factor code not working,Thanks for your help. Two-factor code not working. I need this resolved.,chat,Low,2026-03-13 19:44:00,Login/Access,medium,positive
TK-100081,Cannot log into my account,This is really frustrating. Cannot log into my account. Any update would help.,web_form,Urgent,2026-05-06 17:48:00,Login/Access,high,negative
TK-100054,Where is my order,Thanks for your help. Where is my order. I need this resolved.,twitter,High,2026-02-23 13:50:00,Shipping,high,positive
TK-100055,Add integration with Slack,Not happy about this. Add integration with Slack. Let me know next steps.,web_form,Low,2026-05-11 15:50:00,Feature Request,low,negative
TK-100056,Delivery is two weeks late,Thanks for your help. Delivery is two weeks late. Can someone look into this?,web_form,Medium,2026-03-02 21:19:00,Shipping,medium,positive
TK-100057,I was charged twice this month,This is really frustrating. I was charged twice this month. Any update would help.,phone,Medium,2026-06-06 02:29:00,Billing,high,negative
TK-100090,How do I change my email,This is really frustrating. How do I change my email. Let me know next steps.,web_form,Low,2026-05-25 09:05:00,Login/Access,high,negative
TK-100091,Need bulk edit functionality,Please respond ASAP. Need bulk edit functionality. Please advise.,phone,Urgent,2026-02-27 16:24:00,Feature Request,medium,neutral
TK-100092,Tracking number is invalid,Thanks for your help. Tracking number is invalid. Please advise.,email,Medium,2026-06-08 01:39:00,Shipping,medium,positive
TK-100093,Two-factor code not working,Not happy about this. Two-factor code not working. Can someone look into this?,twitter,Low,2026-02-10 07:11:00,Login/Access,high,negative
TK-100174,Dashboard shows blank screen,I've been waiting for days!! Dashboard shows blank screen. Any update would help.,email,High,2026-03-28 21:38:00,Bug/Error,high,negative
TK-100175,App crashes when I upload a file,Please respond ASAP. App crashes when I upload a file. Any update would help.,twitter,Medium,2026-03-14 08:46:00,Bug/Error,high,negative
TK-100176,Invoice shows wrong amount,Not happy about this. Invoice shows wrong amount. Let me know next steps.,phone,Medium,2026-03-31 09:41:00,Billing,high,negative
TK-100177,How do I change my email,Thanks for your help. How do I change my email. Please advise.,chat,Medium,2026-04-07 20:50:00,General,low,positive
TK-100222,Would love a mobile app,Thanks for your help. Would love a mobile app. Please advise.,chat,High,2026-02-06 10:55:00,Feature Request,low,positive
TK-100223,Two-factor code not working,Please respond ASAP. Two-factor code not working. Please advise.,phone,Low,2026-01-28 10:15:00,Login/Access,high,negative
TK-100224,Would love a mobile app,This is really frustrating. Would love a mobile app. Can someone look into this?,twitter,Urgent,2026-01-13 09:24:00,Feature Request,medium,negative
TK-100225,Two-factor code not working,Please respond ASAP. Two-factor code not working. I need this resolved.,twitter,Urgent,2026-02-18 05:31:00,Login/Access,high,negative
TK-100106,Please add dark mode,Please add dark mode. Please advise.,chat,Low,2026-03-03 22:10:00,Feature Request,low,neutral
TK-100107,Please add dark mode,This is really frustrating. Please add dark mode. Can someone look into this?,web_form,Urgent,2026-04-29 03:41:00,Feature Request,medium,negative
TK-100108,Data not syncing between devices,Not happy about this. Data not syncing between devices. I need this resolved.,web_form,Urgent,2026-04-17 15:30:00,Bug/Error,high,negative
TK-100109,Account locked after failed attempts,This is really frustrating. Account locked after failed attempts. Please advise.,web_form,Low,2026-05-11 23:56:00,Login/Access,high,negative
TK-100130,App crashes when I upload a file,I've been waiting for days!! App crashes when I upload a file. Can someone look into this?,phone,High,2026-03-09 17:07:00,Bug/Error,high,negative
TK-100131,What are your business hours,Please respond ASAP. What are your business hours. Any update would help.,web_form,Urgent,2026-06-13 11:06:00,General,medium,positive
TK-100132,Delivery is two weeks late,Thanks for your help. Delivery is two weeks late. Please advise.,phone,High,2026-02-26 20:04:00,Shipping,medium,negative
TK-100133,Please add dark mode,This is really frustrating. Please add dark mode. Can someone look into this?,email,Low,2026-01-10 09:31:00,Feature Request,medium,negative
TK-100166,Getting a 500 error on checkout,This is really frustrating. Getting a 500 error on checkout. Can someone look into this?,web_form,Medium,2026-02-07 08:12:00,Bug/Error,high,negative
TK-100167,Refund not received yet,Not happy about this. Refund not received yet. Any update would help.,twitter,Urgent,2026-04-29 18:48:00,Billing,high,negative
TK-100168,Delivery is two weeks late,Thanks for your help. Delivery is two weeks late. I need this resolved.,phone,Urgent,2026-02-08 14:04:00,Shipping,high,negative
TK-100169,Dashboard shows blank screen,Please respond ASAP. Dashboard shows blank screen. Can someone look into this?,chat,Urgent,2026-04-01 16:04:00,Bug/Error,high,neutral
TK-100118,Please add dark mode,Not happy about this. Please add dark mode. Can someone look into this?,chat,Low,2026-04-24 05:44:00,Feature Request,medium,negative
TK-100119,App crashes when I upload a file,Thanks for your help. App crashes when I upload a file. I need this resolved.,web_form,Urgent,2026-04-06 13:09:00,Bug/Error,medium,negative
TK-100120,Is there a student discount,This is really frustrating. Is there a student discount. Let me know next steps.,phone,Medium,2026-01-21 19:55:00,General,medium,negative
TK-100121,Package arrived damaged,This is really frustrating. Package arrived damaged. Any update would help.,chat,Low,2026-06-13 08:29:00,Shipping,high,negative
TK-100146,Delivery is two weeks late,I've been waiting for days!! Delivery is two weeks late. Can someone look into this?,twitter,Medium,2026-06-29 03:54:00,Shipping,high,negative
TK-100147,Would love a mobile app,I've been waiting for days!! Would love a mobile app. I need this resolved.,email,High,2026-04-27 12:26:00,Feature Request,high,negative
TK-100148,Dashboard shows blank screen,Thanks for your help. Dashboard shows blank screen. Let me know next steps.,email,Low,2026-06-25 15:04:00,Bug/Error,medium,positive
TK-100149,Please add dark mode,Not happy about this. Please add dark mode. I need this resolved.,twitter,High,2026-02-03 17:03:00,Feature Request,high,negative
TK-100186,Refund not received yet,Thanks for your help. Refund not received yet. Any update would help.,phone,Low,2026-05-12 04:53:00,Billing,medium,positive
TK-100187,Can you support CSV export,Can you support CSV export. Any update would help.,chat,Medium,2026-01-14 12:32:00,Feature Request,low,positive
TK-100188,Why did my subscription price go up,This is really frustrating. Why did my subscription price go up. Can someone look into this?,chat,Medium,2026-03-23 03:53:00,Billing,high,negative
TK-100189,Why did my subscription price go up,I've been waiting for days!! Why did my subscription price go up. Let me know next steps.,twitter,Low,2026-06-30 15:28:00,Billing,high,negative
TK-100094,Cancel my plan and refund me,I've been waiting for days!! Cancel my plan and refund me. Please advise.,web_form,High,2026-05-01 09:02:00,Billing,high,negative
TK-100095,Export button does nothing,Export button does nothing. Let me know next steps.,web_form,Urgent,2026-03-09 20:37:00,Bug/Error,medium,neutral
TK-100096,Package arrived damaged,Not happy about this. Package arrived damaged. Let me know next steps.,email,Medium,2026-03-10 04:04:00,Shipping,high,negative
TK-100097,Delivery is two weeks late,Thanks for your help. Delivery is two weeks late. Any update would help.,chat,Urgent,2026-02-01 14:44:00,Shipping,medium,positive
TK-100226,Export button does nothing,Export button does nothing. Can someone look into this?,web_form,Medium,2026-04-11 16:29:00,Bug/Error,medium,neutral
TK-100227,App crashes when I upload a file,App crashes when I upload a file. I need this resolved.,phone,High,2026-05-07 19:56:00,Bug/Error,high,negative
TK-100228,I was charged twice this month,I've been waiting for days!! I was charged twice this month. Let me know next steps.,phone,High,2026-03-09 23:23:00,Bug/Error,high,negative
TK-100229,Please add dark mode,Please respond ASAP. Please add dark mode. Please advise.,chat,Low,2026-02-19 11:35:00,Feature Request,low,neutral
TK-100206,Cannot log into my account,This is really frustrating. Cannot log into my account. I need this resolved.,email,Medium,2026-04-03 12:36:00,Login/Access,high,negative
TK-100207,Can you support CSV export,Thanks for your help. Can you support CSV export. Any update would help.,twitter,High,2026-01-20 18:08:00,Feature Request,low,positive
TK-100208,Dashboard shows blank screen,This is really frustrating. Dashboard shows blank screen. Can someone look into this?,phone,Urgent,2026-01-07 23:11:00,Bug/Error,high,negative
TK-100209,Why did my subscription price go up,Thanks for your help. Why did my subscription price go up. Any update would help.,phone,Medium,2026-02-24 19:18:00,Billing,medium,positive
TK-100142,Data not syncing between devices,Please respond ASAP. Data not syncing between devices. Can someone look into this?,twitter,Low,2026-04-26 16:14:00,Bug/Error,high,negative
TK-100143,Do you have API documentation,Thanks for your help. Do you have API documentation. Any update would help.,phone,Urgent,2026-06-14 00:03:00,General,low,positive
TK-100144,How do I change my email,I've been waiting for days!! How do I change my email. Any update would help.,twitter,Medium,2026-01-19 02:20:00,Login/Access,high,negative
TK-100145,Two-factor code not working,Please respond ASAP. Two-factor code not working. Please advise.,phone,High,2026-05-21 22:20:00,Login/Access,high,negative
TK-100170,I was charged twice this month,Thanks for your help. I was charged twice this month. I need this resolved.,email,Urgent,2026-01-20 20:55:00,Billing,high,negative
TK-100171,Delivery is two weeks late,Not happy about this. Delivery is two weeks late. Can someone look into this?,web_form,High,2026-04-26 18:41:00,Shipping,high,negative
TK-100172,Need bulk edit functionality,This is really frustrating. Need bulk edit functionality. Can someone look into this?,chat,Low,2026-04-26 03:51:00,Feature Request,medium,negative
TK-100173,Is there a student discount,Is there a student discount. Let me know next steps.,twitter,Medium,2026-04-23 14:33:00,Feature Request,low,neutral
TK-100242,How do I contact sales,Thanks for your help. How do I contact sales. Any update would help.,chat,High,2026-03-31 17:59:00,General,low,positive
TK-100243,Delivery is two weeks late,I've been waiting for days!! Delivery is two weeks late. Any update would help.,email,High,2026-03-30 04:18:00,Shipping,high,negative
TK-100244,Why did my subscription price go up,I've been waiting for days!! Why did my subscription price go up. I need this resolved.,twitter,High,2026-05-03 06:12:00,Billing,high,negative
TK-100245,What are your business hours,This is really frustrating. What are your business hours. Can someone look into this?,web_form,Medium,2026-06-07 23:37:00,General,high,negative
TK-100126,SSO redirect keeps failing,Thanks for your help. SSO redirect keeps failing. Let me know next steps.,email,High,2026-06-10 03:57:00,Login/Access,medium,positive
TK-100127,Invoice shows wrong amount,Thanks for your help. Invoice shows wrong amount. Let me know next steps.,phone,Medium,2026-01-24 09:20:00,Billing,high,negative
TK-100128,SSO redirect keeps failing,Thanks for your help. SSO redirect keeps failing. Please advise.,web_form,High,2026-05-09 08:53:00,Login/Access,medium,positive
TK-100129,Dashboard shows blank screen,Dashboard shows blank screen. Any update would help.,web_form,Urgent,2026-01-20 04:48:00,Bug/Error,medium,neutral
TK-100150,Cancel my plan and refund me,Thanks for your help. Cancel my plan and refund me. Any update would help.,chat,High,2026-01-14 09:38:00,Billing,low,positive
TK-100151,Delivery is two weeks late,This is really frustrating. Delivery is two weeks late. Let me know next steps.,email,High,2026-06-18 15:14:00,Shipping,high,negative
TK-100152,App crashes when I upload a file,Thanks for your help. App crashes when I upload a file. Please advise.,twitter,Low,2026-02-27 13:54:00,Bug/Error,medium,positive
TK-100153,What are your business hours,What are your business hours. Let me know next steps.,chat,High,2026-03-11 22:48:00,General,low,neutral
TK-100110,Can you support CSV export,Please respond ASAP. Can you support CSV export. I need this resolved.,chat,Urgent,2026-01-01 09:46:00,Feature Request,medium,neutral
TK-100111,Need bulk edit functionality,I've been waiting for days!! Need bulk edit functionality. I need this resolved.,twitter,Urgent,2026-03-27 17:48:00,Feature Request,high,negative
TK-100112,Getting a 500 error on checkout,Not happy about this. Getting a 500 error on checkout. Let me know next steps.,phone,Low,2026-05-27 12:14:00,Bug/Error,high,negative
TK-100113,How do I contact sales,Not happy about this. How do I contact sales. Any update would help.,web_form,Urgent,2026-04-09 21:50:00,General,low,negative
TK-100162,How do I change my email,I've been waiting for days!! How do I change my email. Can someone look into this?,chat,Urgent,2026-04-28 02:55:00,Login/Access,high,negative
TK-100163,Add integration with Slack,Thanks for your help. Add integration with Slack. Can someone look into this?,web_form,Urgent,2026-04-14 00:20:00,Feature Request,low,positive
